Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2024-01-07,510.0,510.0,498.0,499.0,-2.33,111777.0,56156302.0,-1,2024-01-07,511.5799834617676,513.8542917203157,-2.2743082585481034,0
2024-01-08,499.5,505.0,494.2,504.0,1.0,94978.0,47425121.1,1,2024-01-08,509.8955426924859,512.8169978550193,-2.921455162533391,0
2024-01-09,514.0,514.0,506.0,507.0,0.6,69070.0,35187049.5,-1,2024-01-09,509.2520887608224,512.204682291333,-2.952593530510626,0
2024-01-10,509.0,523.0,509.0,518.0,2.17,112076.0,57936546.7,1,2024-01-10,511.1960690361952,512.8147157343506,-1.6186466981553735,0
2024-01-11,522.7,522.7,510.0,512.9,-0.98,50497.0,25965667.0,-1,2024-01-11,511.5747203614851,512.8236930254716,-1.2489726639864784,0
2024-01-14,515.0,517.8,510.0,511.2,-0.33,53006.0,27223492.0,-1,2024-01-14,511.491449170044,512.6527779701588,-1.161328800114802,0
2024-01-16,515.0,515.0,508.0,514.0,0.55,209619.0,107008018.6,-1,2024-01-16,512.0489049100343,512.7945908154052,-0.7456859053709195,0
2024-01-17,516.0,525.0,507.0,512.0,-0.39,114163.0,59062600.1,-1,2024-01-17,512.0380371522489,512.7109496769415,-0.672912524692606,0
2024-01-18,510.0,515.0,505.0,509.0,-0.59,82751.0,42028157.5,-1,2024-01-18,511.36291778508246,512.3203233951582,-0.9574056100757389,0
2024-01-21,509.0,509.0,495.0,496.1,-2.53,169221.0,84277298.7,-1,2024-01-21,507.97115827728635,510.61292093251,-2.6417626552236584,0
2024-01-22,495.0,498.0,488.0,489.0,-1.43,108014.0,53075943.3,-1,2024-01-22,503.7553453267783,508.33787662382474,-4.582531297046444,0
2024-01-23,495.0,496.0,477.0,478.6,-2.13,138735.0,66771684.6,-1,2024-01-23,498.1652685874942,505.2075738213169,-7.042305233822674,0
2024-01-24,469.1,494.4,469.1,477.3,-0.27,67640.0,32524761.3,1,2024-01-24,493.52854223471775,502.2699344717046,-8.741392236986826,0
2024-01-25,486.8,486.8,476.0,480.0,0.57,85602.0,40975897.5,-1,2024-01-25,490.52219951589154,499.92573084310413,-9.40353132721259,0
2024-01-28,489.0,489.0,480.0,481.0,0.21,55234.0,26580086.4,-1,2024-01-28,488.40615517902677,497.9335486490932,-9.527393470066443,0
2024-01-29,482.0,483.9,478.0,479.7,-0.27,50577.0,24306624.2,-1,2024-01-29,486.4714540281319,496.0142277386624,-9.542773710530469,0
2024-01-30,480.0,487.0,478.5,479.0,-0.15,46693.0,22396973.5,-1,2024-01-30,484.8111309107693,494.22325639775056,-9.412125486981267,0
2024-01-31,481.0,481.9,474.0,475.0,-0.84,64290.0,30617801.9,-1,2024-01-31,482.630879597265,492.19975572430315,-9.568876127038152,0
